occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
49-9044,9,0.14398034309476426,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9044,10,0.04359654920510059,partial:OEWS_May2021_lognormal;D,10.972608848846047,0.3087554198137526,5,own
49-9045,1,0.00031918695634758354,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,2,0.00772029734286489,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,3,0.038387167431085445,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,4,0.09821476351802227,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,5,0.17118091212957065,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,6,0.22435070979087812,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,7,0.22459004064606525,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,8,0.16146916067604733,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,9,0.06674187312535285,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9045,10,0.0070258883837656105,partial:OEWS_May2021_lognormal;D,10.880968712023721,0.25234093647064704,5,own
49-9051,1,0.00017566124500717484,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,2,0.0022423094371968877,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,3,0.009115277523255028,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,4,0.023904064371546185,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,5,0.049801184234098184,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,6,0.08963875834962187,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,7,0.14465255565810725,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,8,0.21092692125406454,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,9,0.2670752184576176,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9051,10,0.20246804946948527,partial:OEWS_May2021_lognormal;D,11.220744085508727,0.336149505815036,5,own
49-9052,1,0.006454108685595927,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,2,0.026476727174938097,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,3,0.05196342224207129,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,4,0.08006116957901332,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,5,0.10871792702106786,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,6,0.135688013136829,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,7,0.1578984581433195,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,8,0.17031364458441067,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,9,0.16264720394402776,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9052,10,0.09977932548872659,partial:OEWS_May2021_lognormal;D,10.996502975381457,0.3930427688816499,5,own
49-9061,1,0.035121631689710886,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,2,0.1109764729203151,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,3,0.15982172404207257,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
49-9061,4,0.17771766630086916,partial:OEWS_May2021_lognormal;D,10.627343941938593,0.3358818100783924,5,own
