occ_code,fips,emp,source_tag
11-2032,12,3080,real:OEWS_May2025_state; renormalized to national
11-2032,13,1586,real:OEWS_May2025_state; renormalized to national
11-2032,15,402,real:OEWS_May2025_state; renormalized to national
11-2032,17,2854,real:OEWS_May2025_state; renormalized to national
11-2032,18,618,real:OEWS_May2025_state; renormalized to national
11-2032,19,649,real:OEWS_May2025_state; renormalized to national
11-2032,20,309,real:OEWS_May2025_state; renormalized to national
11-2032,21,525,real:OEWS_May2025_state; renormalized to national
11-2032,22,330,real:OEWS_May2025_state; renormalized to national
11-2032,24,1576,real:OEWS_May2025_state; renormalized to national
11-2032,25,2235,real:OEWS_May2025_state; renormalized to national
11-2032,26,1772,real:OEWS_May2025_state; renormalized to national
11-2032,27,1267,real:OEWS_May2025_state; renormalized to national
11-2032,28,175,real:OEWS_May2025_state; renormalized to national
11-2032,29,783,real:OEWS_May2025_state; renormalized to national
11-2032,30,185,real:OEWS_May2025_state; renormalized to national
11-2032,31,340,real:OEWS_May2025_state; renormalized to national
11-2032,32,464,real:OEWS_May2025_state; renormalized to national
11-2032,33,340,real:OEWS_May2025_state; renormalized to national
11-2032,34,2493,real:OEWS_May2025_state; renormalized to national
11-2032,35,258,real:OEWS_May2025_state; renormalized to national
11-2032,36,7942,real:OEWS_May2025_state; renormalized to national
11-2032,37,1556,real:OEWS_May2025_state; renormalized to national
11-2032,38,134,real:OEWS_May2025_state; renormalized to national
11-2032,39,1442,real:OEWS_May2025_state; renormalized to national
11-2032,40,505,real:OEWS_May2025_state; renormalized to national
11-2032,41,1453,real:OEWS_May2025_state; renormalized to national
11-2032,42,2277,real:OEWS_May2025_state; renormalized to national
11-2032,44,216,real:OEWS_May2025_state; renormalized to national
11-2032,45,670,real:OEWS_May2025_state; renormalized to national
11-2032,47,721,real:OEWS_May2025_state; renormalized to national
11-2032,48,8437,real:OEWS_May2025_state; renormalized to national
11-2032,49,598,real:OEWS_May2025_state; renormalized to national
11-2032,50,288,real:OEWS_May2025_state; renormalized to national
11-2032,51,2689,real:OEWS_May2025_state; renormalized to national
11-2032,53,1659,real:OEWS_May2025_state; renormalized to national
11-2032,54,72,real:OEWS_May2025_state; renormalized to national
11-2032,55,1040,real:OEWS_May2025_state; renormalized to national
11-2033,01,214,real:OEWS_May2025_state; renormalized to national
11-2033,02,112,real:OEWS_May2025_state; renormalized to national
11-2033,04,540,real:OEWS_May2025_state; renormalized to national
11-2033,05,153,real:OEWS_May2025_state; renormalized to national
11-2033,06,5528,real:OEWS_May2025_state; renormalized to national
11-2033,08,611,real:OEWS_May2025_state; renormalized to national
11-2033,09,916,real:OEWS_May2025_state; renormalized to national
11-2033,10,122,real:OEWS_May2025_state; renormalized to national
11-2033,11,814,real:OEWS_May2025_state; renormalized to national
11-2033,12,1344,real:OEWS_May2025_state; renormalized to national
11-2033,13,692,real:OEWS_May2025_state; renormalized to national
11-2033,15,244,real:OEWS_May2025_state; renormalized to national
11-2033,16,71,real:OEWS_May2025_state; renormalized to national
11-2033,17,2912,real:OEWS_May2025_state; renormalized to national
11-2033,18,448,real:OEWS_May2025_state; renormalized to national
11-2033,19,377,real:OEWS_May2025_state; renormalized to national
11-2033,20,163,real:OEWS_May2025_state; renormalized to national
11-2033,21,214,real:OEWS_May2025_state; renormalized to national
11-2033,22,51,real:OEWS_May2025_state; renormalized to national
11-2033,23,224,real:OEWS_May2025_state; renormalized to national
11-2033,24,825,real:OEWS_May2025_state; renormalized to national
11-2033,25,2301,real:OEWS_May2025_state; renormalized to national
11-2033,26,896,real:OEWS_May2025_state; renormalized to national
11-2033,27,692,real:OEWS_May2025_state; renormalized to national
11-2033,28,71,real:OEWS_May2025_state; renormalized to national
11-2033,30,173,real:OEWS_May2025_state; renormalized to national
11-2033,31,407,real:OEWS_May2025_state; renormalized to national
11-2033,32,153,real:OEWS_May2025_state; renormalized to national
11-2033,33,275,real:OEWS_May2025_state; renormalized to national
11-2033,34,764,real:OEWS_May2025_state; renormalized to national
11-2033,35,71,real:OEWS_May2025_state; renormalized to national
11-2033,36,4154,real:OEWS_May2025_state; renormalized to national
11-2033,37,1049,real:OEWS_May2025_state; renormalized to national
11-2033,38,31,real:OEWS_May2025_state; renormalized to national
11-2033,39,1660,real:OEWS_May2025_state; renormalized to national
11-2033,40,224,real:OEWS_May2025_state; renormalized to national
11-2033,41,1181,real:OEWS_May2025_state; renormalized to national
11-2033,42,1985,real:OEWS_May2025_state; renormalized to national
11-2033,44,224,real:OEWS_May2025_state; renormalized to national
11-2033,45,224,real:OEWS_May2025_state; renormalized to national
11-2033,47,305,real:OEWS_May2025_state; renormalized to national
11-2033,48,2606,real:OEWS_May2025_state; renormalized to national
11-2033,49,132,real:OEWS_May2025_state; renormalized to national
